Cidade,Estado,ID,Latitude,Longitude,Amazonia,População,População com acesso à água,População sem acesso à água,População com coleta de esgoto,População sem coleta de esgoto,Parcela da população sem acesso à água,Parcela da população com acesso à água,Parcela da população sem coleta de esgoto,Parcela da população com coleta de esgoto,Densidade demográfica,Área do município,Receita direta e indireta total,Parcela das moradias sem banheiro,Incidência de internações por diarreia,Taxa de óbitos por doenças de veiculação hídrica,Consumo per capita de água,Perdas na distribuição,Índice de esgoto tratado referido à água consumida,Tarifa de água,Custo com energia elétrica,Incidência de internações totais por doenças de veiculação hídrica,Moradias sem banheiro
Santo Antônio de Goiás,Goiás,521973,-16.4861723,-49.3093885,Não,,,,,,,,,,,,,,,,,,,,,,
Santo Antônio do Descoberto,Goiás,521975,-15.9465415,-48.2616527,Não,,,,,,,,,,,,,,,,,,,,,,
Senador Canedo,Goiás,522045,-16.7013233,-49.0914921,Não,,,,,,,,,,,,,,,,,,,,,,
Terezópolis de Goiás,Goiás,522119,-16.4837865,-49.0949299,Não,,,,,,,,,,,,,,,,,,,,,,
Trindade,Goiás,522140,-16.6549924,-49.4876203,Não,,,,,,,,,,,,,,,,,,,,,,
Valparaíso de Goiás,Goiás,522185,-16.0686394,-47.9764907,Não,,,,,,,,,,,,,,,,,,,,,,
Açailândia,Maranhão,210005,-4.9515026,-47.500732,Sim,106550.0,106550.0,0.0,1581.0,104969.0,0.0,1.0,0.985,0.015,18.35,5806.439,22677735.23,0.0127,7.321,0.188,125.58,0.502,0.01,4.26,6381579.69,10.136,437
Alcântara,Maranhão,210020,-2.4084996,-44.4174143,Sim,18467.0,6316.0,12151.0,0.0,18467.0,0.658,0.342,1.0,0.0,12.67,1457.916,1294796.2,0.2098,9.747,0,45.16,0.835,0,4.11,327937.29,9.747,1319
Bacabal,Maranhão,210120,-4.2318132,-44.781167,Sim,103711.0,83502.0,20209.0,4830.0,98881.0,0.195,0.805,0.953,0.047,61.62,1683.073,12475468.35,0.0739,7.232,0.096,111,0.09,0,2.53,5312661.25,8.967,2430
Balsas,Maranhão,210140,-7.53214,-46.037163,Sim,101767.0,87936.0,13831.0,4000.0,97767.0,0.136,0.864,0.961,0.039,7.74,13141.757,16271641.06,0.05,5.306,0.098,162.48,0.529,0.023,2.53,5334625.93,11.006,1541
